Date,Price,Open,High,Low,Vol.,Change %
5/20/2021,"23,936.00","23,424.00","24,000.00","23,424.00",19.16M,2.19%
5/21/2021,"24,000.00","23,936.00","24,512.00","23,872.00",14.29M,0.27%
5/24/2021,"24,000.00","24,224.00","24,224.00","23,840.00",11.79M,0.00%
5/25/2021,"24,320.00","24,000.00","24,480.00","23,872.00",13.68M,1.33%
5/26/2021,"24,608.00","24,352.00","24,736.00","24,352.00",15.59M,1.18%
5/27/2021,"24,448.00","24,640.00","25,056.00","24,256.00",14.92M,-0.65%
5/28/2021,"24,896.00","24,448.00","24,896.00","24,352.00",14.71M,1.83%
5/31/2021,"26,496.00","25,280.00","26,528.00","24,960.00",25.05M,6.43%
6/1/2021,"26,944.00","27,200.00","27,456.00","26,880.00",17.44M,1.69%
6/2/2021,"28,544.00","27,296.00","28,544.00","27,200.00",25.02M,5.94%
6/3/2021,"29,376.00","29,632.00","29,632.00","28,544.00",19.17M,2.91%
6/4/2021,"28,992.00","28,800.00","29,376.00","28,800.00",14.83M,-1.31%
6/7/2021,"27,520.00","28,736.00","28,736.00","27,040.00",28.91M,-5.08%
6/8/2021,"25,728.00","27,232.00","27,776.00","25,728.00",22.38M,-6.51%
6/9/2021,"27,168.00","25,728.00","27,264.00","25,600.00",19.63M,5.60%
6/10/2021,"27,280.00","27,600.00","28,280.00","27,280.00",17.50M,0.41%
6/11/2021,"27,720.00","27,520.00","28,080.00","27,040.00",11.92M,1.61%
6/14/2021,"27,280.00","27,720.00","27,920.00","27,080.00",13.68M,-1.59%
6/15/2021,"28,280.00","27,280.00","28,960.00","26,800.00",22.72M,3.67%
6/16/2021,"27,760.00","28,280.00","28,360.00","27,600.00",10.26M,-1.84%
6/17/2021,"27,920.00","27,200.00","28,000.00","26,960.00",7.99M,0.58%
6/18/2021,"28,000.00","28,160.00","28,400.00","27,920.00",11.52M,0.29%
6/21/2021,"27,800.00","27,920.00","28,160.00","27,720.00",6.81M,-0.71%
6/22/2021,"28,520.00","28,160.00","28,800.00","27,880.00",18.59M,2.59%
6/23/2021,"28,640.00","28,720.00","29,120.00","28,560.00",12.81M,0.42%
6/24/2021,"28,960.00","28,800.00","29,160.00","28,480.00",14.37M,1.12%
6/25/2021,"29,080.00","28,960.00","29,280.00","28,840.00",9.92M,0.41%
6/28/2021,"29,360.00","29,360.00","29,440.00","29,040.00",9.92M,0.96%
6/29/2021,"29,160.00","29,520.00","29,560.00","29,160.00",8.35M,-0.68%
6/30/2021,"28,560.00","29,120.00","29,200.00","28,480.00",12.04M,-2.06%
7/1/2021,"28,760.00","28,440.00","28,960.00","28,080.00",12.99M,0.70%
7/2/2021,"28,880.00","29,040.00","29,120.00","28,800.00",8.01M,0.42%
7/5/2021,"30,360.00","29,040.00","30,480.00","28,720.00",20.84M,5.12%
7/6/2021,"28,800.00","30,400.00","30,560.00","28,800.00",12.59M,-5.14%
7/7/2021,"29,240.00","28,800.00","29,520.00","28,080.00",12.65M,1.53%
7/8/2021,"28,960.00","29,240.00","29,760.00","28,800.00",9.19M,-0.96%
7/9/2021,"28,160.00","28,800.00","29,280.00","27,200.00",14.14M,-2.76%
7/12/2021,"26,200.00","27,600.00","27,800.00","26,200.00",22.94M,-6.96%
7/13/2021,"26,320.00","26,640.00","26,640.00","25,840.00",8.34M,0.46%
7/14/2021,"25,400.00","26,320.00","26,400.00","24,880.00",13.51M,-3.50%
7/15/2021,"26,200.00","25,120.00","26,360.00","25,080.00",6.37M,3.15%
7/16/2021,"26,880.00","26,520.00","26,880.00","26,240.00",7.40M,2.60%
7/19/2021,"25,720.00","26,320.00","26,520.00","25,560.00",12.52M,-4.32%
7/20/2021,"27,120.00","26,000.00","27,120.00","25,600.00",10.70M,5.44%
7/21/2021,"27,040.00","27,240.00","27,600.00","27,000.00",10.22M,-0.29%
7/22/2021,"27,280.00","27,040.00","27,520.00","26,560.00",8.95M,0.89%
7/23/2021,"26,400.00","27,120.00","27,320.00","26,400.00",9.29M,-3.23%
7/26/2021,"26,160.00","26,080.00","26,480.00","25,640.00",9.41M,-0.91%
7/27/2021,"26,520.00","26,440.00","26,800.00","26,400.00",7.04M,1.38%
7/28/2021,"26,520.00","26,560.00","26,880.00","26,440.00",6.06M,0.00%
7/29/2021,"27,320.00","26,760.00","27,360.00","26,640.00",9.55M,3.02%
7/30/2021,"28,920.00","27,440.00","28,920.00","27,440.00",43.95M,5.86%
8/2/2021,"28,440.00","28,400.00","28,800.00","28,280.00",10.81M,-1.66%
8/3/2021,"28,640.00","28,360.00","28,640.00","28,000.00",10.96M,0.70%
8/4/2021,"28,400.00","28,800.00","28,800.00","28,240.00",10.58M,-0.84%
8/5/2021,"28,800.00","28,280.00","28,880.00","28,240.00",17.23M,1.41%
8/6/2021,"28,440.00","28,880.00","28,920.00","28,360.00",10.78M,-1.25%
8/9/2021,"29,200.00","28,320.00","29,480.00","28,120.00",24.05M,2.67%
8/10/2021,"29,200.00","29,440.00","29,480.00","28,960.00",13.07M,0.00%
8/11/2021,"28,800.00","29,200.00","29,400.00","28,800.00",20.62M,-1.37%
8/12/2021,"28,240.00","28,640.00","28,800.00","28,240.00",15.18M,-1.94%
8/13/2021,"28,280.00","28,160.00","28,360.00","27,440.00",18.91M,0.14%
8/16/2021,"28,560.00","28,280.00","28,800.00","27,840.00",15.07M,0.99%
8/17/2021,"28,480.00","28,800.00","28,960.00","28,320.00",10.93M,-0.28%
