"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2020","12,800.0","13,100.0","13,100.0","12,700.0","4.31M","-0.78%"
"09/18/2020","12,900.0","12,900.0","12,900.0","12,700.0","2.90M","0.78%"
"09/21/2020","12,900.0","12,900.0","13,200.0","12,800.0","9.45M","0.00%"
"09/22/2020","13,500.0","12,900.0","13,600.0","12,800.0","15.63M","4.65%"
"09/23/2020","13,600.0","13,200.0","13,900.0","13,200.0","9.35M","0.74%"
"09/24/2020","13,500.0","13,600.0","13,700.0","13,400.0","5.01M","-0.74%"
"09/25/2020","13,600.0","12,900.0","13,600.0","12,900.0","8.45M","0.74%"
"09/28/2020","13,900.0","13,600.0","13,900.0","13,500.0","7.86M","2.21%"
"09/29/2020","13,500.0","13,900.0","14,200.0","13,500.0","9.83M","-2.88%"
"09/30/2020","13,600.0","13,500.0","13,600.0","13,400.0","4.96M","0.74%"
"10/01/2020","13,900.0","13,700.0","14,000.0","13,700.0","6.04M","2.21%"
"10/02/2020","13,600.0","13,900.0","14,000.0","13,300.0","10.94M","-2.16%"
"10/05/2020","14,200.0","13,700.0","14,300.0","13,600.0","12.17M","4.41%"
"10/06/2020","14,200.0","14,400.0","14,500.0","14,000.0","4.83M","0.00%"
"10/07/2020","14,000.0","14,200.0","14,300.0","14,000.0","5.33M","-1.41%"
"10/08/2020","14,200.0","14,000.0","14,400.0","14,000.0","9.32M","1.43%"
"10/09/2020","14,200.0","14,300.0","14,400.0","14,100.0","3.67M","0.00%"
"10/12/2020","13,700.0","14,400.0","14,400.0","13,700.0","9.50M","-3.52%"
"10/13/2020","13,700.0","13,700.0","13,800.0","13,500.0","4.80M","0.00%"
"10/14/2020","13,700.0","13,700.0","13,900.0","13,600.0","3.90M","0.00%"
"10/15/2020","13,800.0","13,700.0","14,100.0","13,700.0","6.87M","0.73%"
"10/16/2020","13,900.0","13,800.0","14,100.0","13,700.0","5.01M","0.72%"
"10/19/2020","13,900.0","13,900.0","14,100.0","13,800.0","2.23M","0.00%"
"10/20/2020","14,200.0","14,000.0","14,400.0","13,900.0","8.17M","2.16%"
"10/21/2020","13,900.0","14,200.0","14,300.0","13,800.0","4.02M","-2.11%"
"10/22/2020","14,000.0","13,900.0","14,000.0","13,700.0","2.79M","0.72%"
"10/23/2020","13,900.0","14,000.0","14,100.0","13,800.0","2.89M","-0.71%"
"10/26/2020","13,500.0","13,900.0","14,000.0","13,500.0","6.80M","-2.88%"
"10/27/2020","13,400.0","13,500.0","13,600.0","13,300.0","3.97M","-0.74%"
"10/28/2020","13,100.0","13,300.0","13,400.0","13,000.0","3.91M","-2.24%"
"10/29/2020","13,000.0","13,000.0","13,100.0","12,800.0","3.41M","-0.76%"
"10/30/2020","13,000.0","13,000.0","13,100.0","12,800.0","4.15M","0.00%"
"11/02/2020","13,200.0","13,000.0","13,200.0","12,800.0","1.44M","1.54%"
"11/03/2020","13,400.0","13,100.0","13,400.0","13,100.0","1.97M","1.52%"
"11/04/2020","13,600.0","13,500.0","13,800.0","13,300.0","4.07M","1.49%"
"11/05/2020","13,500.0","13,600.0","13,700.0","13,300.0","1.84M","-0.74%"
"11/06/2020","13,500.0","13,500.0","13,500.0","13,300.0","1.36M","0.00%"
"11/09/2020","13,700.0","13,500.0","13,800.0","13,400.0","5.08M","1.48%"
"11/10/2020","14,300.0","13,900.0","14,500.0","13,900.0","15.17M","4.38%"
"11/11/2020","15,000.0","14,200.0","15,000.0","14,200.0","13.14M","4.90%"
"11/12/2020","14,900.0","15,000.0","15,200.0","14,800.0","6.66M","-0.67%"
"11/13/2020","15,100.0","14,800.0","15,100.0","14,600.0","10.88M","1.34%"
"11/16/2020","14,800.0","15,100.0","15,300.0","14,800.0","10.84M","-1.99%"
"11/17/2020","15,600.0","14,900.0","15,600.0","14,800.0","10.56M","5.41%"
